date	CSCO US Equity	AAPL US Equity	GE US Equity	INTC US Equity	MSFT US Equity	XOM US Equity	WMT US Equity	ORCL US Equity	C US Equity	IBM US Equity	PFE US Equity	MRK US Equity	AIG US Equity	JNJ US Equity	BAC US Equity	PG US Equity	JPM US Equity	T US Equity	CVX US Equity	BRK/A US Equity	GOOG US Equity	MO US Equity	CSCO US Equity	AAPL US Equity	KO US Equity	WFC US Equity	AMZN US Equity	FB US Equity
19950331	9115525120	4268528384	91469414400		41536999424	82748252160	52543873024	13584154624		47687032832	27077705728	52784242688	32898084864	38258499584		45528457216			31294945280	26659051520		55328825344	9115525120	4268528384	71529504768			no data
19950630	10779248640	5660963328	94846820352	35146739712	53140500480	87716249600	54561943552	15059155968		54597410816	29213667328	60735008768	36038705152	43730210816		49347506176			30238957568	27975849984		62573842432	10779248640	5660963328	80456130560			no data
19950930	14258768896	4578844160	1.0648E+11	49477300224	53395001344	89711230976	61131001856	17438887936		52760768512	33954719744	68985896960	40297820160	48014319616		52868198400			31796408320	35074199552		69795143680	14258768896	4578844160	87297835008			no data
19951231	21107376128	3924386048	1.19989E+11	46591750144	51772502016	99991543808	49619533824	19751917568		50052849664	40147759104	80643153920	43862020096	55376637952		56940240896			34182021120	38295298048		75013087232	21107376128	3924386048	92983197696			no data
19960331	22865649664	3038012672	1.29253E+11	46774001664	61359374336	1.01229E+11	46719873024	22679904256		60038402048	43043160064	76116434944	44311683072	61469683712		58168078336		32056979456	36629811200	40383049728		72484306944	22865649664	3038012672	1.034E+11			no data
19960630	29818920960	2599485184	1.43246E+11	60534530048	71714627584	1.07886E+11	54769250304	21724235776		52221906944	45852012544	78122065920	46307594240	65994043392		62127968256		30007820288	38512132096	37166231552		85323988992	29818920960	2599485184	1.22197E+11			no data
19960930	33253496832	2777839360	1.49824E+11	79495618560	78729371648	1.03378E+11	55073280000	23170177024		64434479104	51006189568	84756905984	47295778816	68632092672		66485252096		29051176960	40857927680	38924873728		73186099200	33253496832	2777839360	1.26626E+11			no data
19961231	38885363712	2881028096	1.62604E+11	1.11143E+11	98984747008	1.21733E+11	60787154944	32237686784		76959121408	53534998528	96075685888	50816991232	66291081216		73131188224		47369969664	42468270080	41964224512		91580620800	38885363712	2881028096	1.30562E+11			no data
19970331	45403398144	2354665728	1.62094E+11	1.13943E+11	1.092E+11	1.33773E+11	54268751872	25646342144	30768707584	68154920960	54312951808	1.01903E+11	55114485760	73440452608		77926719488		47891759104	45497499648	44621672448		92120219648	45403398144	2354665728	1.38227E+11			no data
19970630	30887280640	1858835328	2.12296E+11	1.16147E+11	1.52156E+11	1.51533E+11	63693729792	30398566400		88649056256	77233930240	1.23627E+11	69832368128	85813420032		95400255488		56550473728	48406159360	58149101568		1.07177E+11	30887280640	1858835328	1.68649E+11		441391488	no data
19970930	53452701696	2726913024	2.2275E+11	1.5225E+11	1.59701E+11	1.57978E+11	84504788992	37381484544		1.0305E+11	77756956672	1.20159E+11	72385306624	77072629760		92895969280		56312877056	54551515136	55268552704		1.00747E+11	53452701696	2726913024	1.50879E+11		1242159104	no data
19971231	54153502720	1704252928	2.39539E+11	1.15385E+11	1.56522E+11	1.50338E+11	78606745600	32778299392		1.0024E+11	96483876864	1.26527E+11	76072583168	87265763328		1.07092E+11		71579901952	50506690560	61380763648		1.09753E+11	54153502720	1704252928	1.6476E+11		1455158016	no data
19980331	58749353984	3582445056	2.80801E+11	1.33772E+11	2.19633E+11	1.65464E+11	89219809280	23971502080	1.36846E+11	98982690816	1.25014E+11	1.53288E+11	88110104576	96162422784	1.26017E+11	1.13172E+11		79752724480	52527935488	83422601216		1.0125E+11	58749353984	3582445056	1.91329E+11	66934534144	2066691584	no data
19980630	74470203392	3752630016	2.95679E+11	1.2831E+11	2.67686E+11	1.74041E+11	1.13043E+11	22995085312	1.38253E+11	1.07127E+11	1.46256E+11	1.59754E+11	1.022E+11	1.03477E+11	1.33071E+11	1.21787E+11		73491521536	54807961600	97228382208		95722913792	74470203392	3752630016	2.10934E+11	60419174400	4954582528	no data
19980930	1.02703E+11	5238728704	2.59988E+11	1.47217E+11	2.73836E+11	1.71706E+11	1.42211E+11	19377356800	85329567744	1.18586E+11	1.37242E+11	1.53019E+11	82290565120	1.04653E+11	93199032320	94304641024		86798213120	54842982400	74321215488		1.12541E+11	1.02703E+11	5238728704	1.41887E+11	58338467840	5885493760	no data
19981231	92315435008	5312448000	3.33672E+11	2.07187E+11	3.48106E+11	2.52866E+11	1.53557E+11	32870135808	1.12193E+11	1.6887E+11	1.75875E+11	1.74083E+11	1.17606E+11		1.03685E+11	1.21117E+11		1.06581E+11	54160343040	1.06048E+11		1.30034E+11	92315435008	5312448000	1.6519E+11	65659564032	17054841856	no data
19990331	1.6378E+11	4543845376	3.61952E+11	1.93585E+11	4.5819E+11	1.71311E+11	1.91264E+11	53620555776	1.61978E+11	1.6084E+11		1.89406E+11	1.49436E+11	1.16525E+11	1.22949E+11	1.3011E+11	1.04215E+11	92668698624	58158051328	1.08331E+11		85026578432	1.6378E+11	4543845376	1.51431E+11	57944846336	27786070016	no data
19990630	1.83298E+11	6755357696	3.70661E+11	1.82974E+11	4.60768E+11	1.8726E+11	2.04706E+11	35510013952	1.60394E+11	2.33825E+11	1.80632E+11	1.73041E+11	1.4522E+11	1.2667E+11	1.26312E+11	1.17788E+11	1.0955E+11	1.14104E+11	62354632704	1.04414E+11		96372883456	1.83298E+11	6755357696	1.53076E+11	70564388864	21040144384	no data
19990930	2.11877E+11	10441884672	3.88607E+11	2.5282E+11	4.66216E+11	1.84512E+11	1.87954E+11	51964026880	1.48137E+11	2.18115E+11	49890058240	1.51495E+11	1.346E+11	1.30982E+11	95227797504	1.23347E+11	94567661568	1.74194E+11	58243608576	83724754944		81305255936	2.11877E+11	10441884672	1.19168E+11	65371856896	27241660416	no data
19991231	2.4531E+11	16686684160	5.08329E+11	2.77139E+11	5.86085E+11	2.80116E+11	2.50801E+11	95667503104	2.09833E+11	1.92472E+11	1.24852E+11	1.56485E+11	1.67499E+11	1.44277E+11	84178149376	1.44151E+11	95839649792	1.65524E+11	56855973888	84915027968		53785935872	2.4531E+11	16686684160	1.43969E+11	68598956032	26274924544	no data
20000331	3.57849E+11		5.12651E+11		5.56962E+11	2.71528E+11	2.44021E+11	1.94786E+11	2.01817E+11	2.0986E+11		1.42961E+11	1.68781E+11	1.29588E+11	86928474112	74223321088	1.068E+11	1.43297E+11	60266475520	86525919232		47662084096	3.57849E+11		1.16118E+11	69206335488	23447252992	no data
20000630	4.85366E+11	22093975552	5.24635E+11	4.41859E+11	4.2264E+11	2.73482E+11	2.47243E+11	2.01794E+11	2.03028E+11	1.92907E+11	2.30144E+11	1.76217E+11	1.8125E+11	97670332416	70765142016	74109820928	84283088896	1.49141E+11	55354404864	81676197888		60080787456	4.85366E+11	22093975552	1.42245E+11	65453400064	12905462784	no data
20000930	4.48356E+11	8643679232	5.72853E+11	2.79716E+11	3.20621E+11	3.09731E+11	2.46765E+11	2.54509E+11	2.42844E+11	1.97587E+11	3.03059E+11	1.71037E+11	2.2157E+11	1.41715E+11	85414404096	87354597376	87807057920	1.68825E+11	54714900480	97835098112		65658961920	4.48356E+11	8643679232	1.36655E+11	78534197248	13687669760	no data
20001231	3.64443E+11	5136441856	4.76116E+11	2.0205E+11	2.30798E+11	3.01238E+11	2.02675E+11	1.47896E+11	2.56447E+11	1.49846E+11	2.90444E+11	2.16049E+11	2.29958E+11	3.16724E+11	74025369600	1.01961E+11	87625760768	1.61715E+11	89899425792	1.07967E+11		97191428096	3.64443E+11	5136441856	1.51415E+11	95484338176	5557991424	no data
20010331	2.77873E+11	7648159744	4.15798E+11	1.76952E+11	2.91813E+11	2.7945E+11	2.53896E+11	1.06589E+11	2.26418E+11	1.69028E+11		1.74379E+11	1.87647E+11		87708622848	81117077504	89092153344	1.50312E+11	56323612672	99906347008		1.04478E+11	2.77873E+11	7648159744	1.12314E+11	85016272896	3671004672	no data
20010630	1.14052E+11	8148520448	4.84324E+11	1.96794E+11	3.92959E+11	2.98522E+11	2.31327E+11	85563121664	2.6558E+11	1.96243E+11	2.58511E+11	1.46036E+11	1.98184E+11	1.2219E+11	96115597312	82665660416	88459010048	1.34678E+11	58141364224	1.05941E+11		1.11135E+11	1.14052E+11	8148520448	1.11937E+11	79552552960	5125002752	no data
20010930	1.39595E+11	5442800128	3.69299E+11	1.37193E+11	2.75602E+11	2.69496E+11	2.49703E+11	67874377728	2.08341E+11	1.58001E+11	2.52098E+11	1.51513E+11	2.03773E+11	1.68653E+11	92396331008	94314004480	67373580288	1.58417E+11	54450348032	1.06954E+11		1.04808E+11	1.39595E+11	5442800128	1.16387E+11	75826503680	2219442944	no data
20011231	1.26701E+11	7905655808	3.97832E+11	2.15686E+11	3.57949E+11	2.67594E+11	2.29094E+11	77109657600	2.59906E+11	2.08438E+11	2.50138E+11	1.33637E+11	2.07665E+11	1.82406E+11	98157748224	1.0256E+11	71732510720	1.31376E+11	95633670144	1.15884E+11		98692259840	1.26701E+11	7905655808	1.17226E+11	73703170048	4038218496	no data
20020331	1.40319E+11	8381191680	3.71982E+11	2.03321E+11	3.26579E+11	2.97255E+11	2.67091E+11	91249451008	2.55789E+11	1.78036E+11	2.48165E+11	1.30627E+11	1.88495E+11	1.9651E+11	1.05058E+11	1.17082E+11	70949421056	1.25056E+11	96360333312	1.09028E+11		1.12737E+11	1.40319E+11	8381191680	1.29792E+11	84401725440	5364058624	no data
20020630	1.01835E+11	6358910976	2.89032E+11	1.2177E+11	2.93137E+11	2.76496E+11	2.48468E+11	43013521408	1.98325E+11	1.21991E+11	2.16638E+11	1.14218E+11	1.78128E+11	1.55916E+11	1.06642E+11	1.16161E+11	67615043584	1.01415E+11	94524456960	1.02518E+11		92894035968	1.01835E+11	6358910976	1.39048E+11	85583773696	6179939840	no data
20020930	86321463296	5283876864	2.45294E+11	96857497600	2.33834E+11	2.14655E+11	2.17506E+11	51364040704	1.50088E+11	98549030912	1.76115E+11	1.02677E+11	1.4269E+11	1.63579E+11	95837937664	1.16131E+11	37901418496	66736091136	73969868800	1.13393E+11		80692436992	86321463296	5283876864	1.18937E+11	81798799360	6072771072	no data
20021231	85204738048	5065213440	2.42767E+11	1.0783E+11	2.76647E+11	2.34098E+11	2.36367E+11	64018350080	1.80901E+11	1.33483E+11	1.88372E+11	1.27088E+11	1.50965E+11	1.57646E+11	1.04403E+11	1.11112E+11	47968944128	89950978048	71009746944	1.11633E+11		82651209728	85204738048	5065213440	1.08328E+11	79018434560	7327544320	no data
20030331	99099000832	5325990912	2.54856E+11	1.12515E+11	2.5958E+11	2.33445E+11	2.10081E+11	62694318080	1.7735E+11	1.35527E+11	2.51123E+11	1.22878E+11	1.28985E+11	1.70355E+11	1.00095E+11	1.15293E+11	48132202496	66647453696	69067857920	98007212032		60655517696	99099000832	5325990912	99714056192	75354923008	10193582080	no data
20030630	1.00638E+11	6873779200	2.87341E+11	1.33911E+11	2.76168E+11	2.38873E+11	2.46621E+11	68081328128	2.20456E+11	1.4274E+11	2.72518E+11	1.35657E+11	1.43958E+11	1.53017E+11	1.18254E+11	1.15684E+11	69560131584	84917583872	77165125632	1.11411E+11		92199854080	1.00638E+11	6873779200	1.14188E+11	84590788608	14409234432	no data
20030930	1.33522E+11	7587581440	2.99318E+11	1.78128E+11	3.00379E+11	2.41889E+11	2.44282E+11	67023921152	2.34771E+11	1.51965E+11	2.33219E+11	1.12978E+11	1.50478E+11	1.45965E+11	1.16236E+11	1.2036E+11	70004703232	73662398464	76377120768	1.15156E+11		88925036544	1.33522E+11	7587581440	1.05312E+11	86368952320	19392438272	no data
20031231	1.36877E+11	7662853120	3.11755E+11	2.03432E+11	2.95295E+11	2.69288E+11	2.55123E+11	62816518144	2.50316E+11	1.57047E+11	2.69533E+11	1.02645E+11	1.72888E+11	1.50239E+11	1.15911E+11	1.29085E+11	75025432576	86167502848	92363694080	1.29461E+11		1.10868E+11	1.36877E+11	7662853120	1.23908E+11	1.00002E+11	21224486912	no data
20040331	1.88085E+11	10081999872	3.11689E+11	1.77094E+11	2.68671E+11	2.72E+11	2.32147E+11	66859651072	2.67366E+11	1.54784E+11	2.61651E+11	98215370752	1.86097E+11	1.48764E+11	1.17056E+11	1.34802E+11	87326728192	81273487360	93929250816	1.43495E+11		1.11615E+11	1.88085E+11	10081999872	1.22393E+11	96179265536	17523812352	no data
20040630	1.41979E+11	12980969472	3.42086E+11	1.78209E+11	3.10219E+11	2.8891E+11	2.43358E+11	58949398528	2.40882E+11	1.47668E+11	2.55367E+11	1.05455E+11	1.85713E+11	1.65423E+11	1.71891E+11	1.38484E+11	80932569088	80355770368	1.00234E+11	1.36716E+11		1.02685E+11	1.41979E+11	12980969472	1.22451E+11	96602529792	22125078528	no data
20040930	1.40896E+11	14596946944	3.55011E+11	1.27282E+11	3.00417E+11	3.11791E+11	2.24895E+11	51126161408	2.28972E+11	1.42731E+11	2.23369E+11	73159352320	1.77085E+11	1.67211E+11	1.75446E+11	1.61094E+11	1.41601E+11	86034890752	1.13642E+11	1.33132E+11	35434704896	96544423936	1.40896E+11	14596946944	96768008192	1.00795E+11	16648978432	no data
20041231	1.26613E+11	25895182336	3.86402E+11	1.47196E+11	2.90714E+11	3.28115E+11	2.28344E+11	65024958464	2.50278E+11	1.62223E+11	2.00949E+11	70985654272	1.70507E+11		1.90147E+11	1.38945E+11	1.38727E+11	85064507392	1.10645E+11	1.35165E+11	53470158848	1.25837E+11	1.26613E+11	25895182336	1.00311E+11	1.05319E+11	18146099200	no data
20050331	1.1601E+11	34983313408	3.82449E+11		2.61133E+11	3.79398E+11	2.21862E+11	66511200256	2.33786E+11	1.47425E+11		71388921856	1.43784E+11	1.88422E+11	1.77958E+11	1.32203E+11	1.21975E+11	78295449600	1.22347E+11	1.33588E+11	50141495296	1.353E+11	1.1601E+11	34983313408	1.00382E+11	1.01201E+11	14084970496	no data
20050630	1.10701E+11	31264569344	3.67318E+11	1.42041E+11	2.66036E+11	3.62356E+11	1.9714E+11	65856000000	2.39013E+11	1.18408E+11	1.94434E+11	67700105216	1.50774E+11	1.98704E+11	1.83202E+11	1.30447E+11	1.24112E+11	78517501952	1.16535E+11	1.28577E+11	82139693056	1.34164E+11	1.10701E+11	31264569344		1.03877E+11	13633080320	no data
20050930	1.21239E+11	44423028736	3.55763E+11	1.59698E+11	2.73896E+11	3.95371E+11	2.05429E+11	66885509120	2.30285E+11	1.26709E+11	1.99741E+11	59581079552	1.60824E+11	1.88259E+11	1.6895E+11	1.41376E+11	1.18871E+11	78813356032	1.45318E+11	1.26272E+11	93529161728	1.53334E+11	1.21239E+11	44423028736	1.02683E+11	98349006848	18754199552	no data
20051231	1.0548E+11	60791418880	3.67474E+11	1.47738E+11	2.71542E+11	3.44491E+11	1.96975E+11	64940400640	2.4169E+11	1.29381E+11	1.71659E+11	69406998528	1.77169E+11		1.84586E+11	1.90374E+11	1.38387E+11	94944894976	1.2675E+11	1.36514E+11	1.23312E+11	1.55736E+11	1.0548E+11	60791418880	95494389760	1.05403E+11	19614400512	no data
20060331	1.15535E+11		3.61656E+11		2.78222E+11	3.68203E+11	1.92048E+11	65975037952	2.34792E+11	1.27861E+11		76965560320	1.71667E+11	1.78766E+11	2.08633E+11	1.89111E+11	1.44614E+11	1.0513E+11	1.28493E+11	1.39256E+11	1.18203E+11	1.47932E+11	1.15535E+11		98687590400	1.07226E+11	15233009664	no data
20060630	1.29136E+11	53261082624	3.40258E+11	1.13024E+11	2.34445E+11	3.64726E+11	1.87675E+11	74399039488	2.38545E+11	1.16908E+11	1.82599E+11	79339094016	1.53423E+11	1.75882E+11	2.17794E+11	1.76744E+11	1.45764E+11	1.08325E+11	1.36407E+11	1.41316E+11	1.27628E+11	1.53508E+11	1.29136E+11	53261082624	1.00753E+11	1.12754E+11	16206919680	no data
20060930	1.09547E+11	65838112768	3.63876E+11	1.18442E+11	2.68577E+11	3.91327E+11	1.85522E+11	81197096960	2.44062E+11	1.2343E+11	1.7113E+11	91030233088	1.72224E+11	1.75804E+11	2.40966E+11	1.96399E+11	1.62835E+11	1.25454E+11	1.41394E+11	1.47523E+11	1.22282E+11	1.60414E+11	1.09547E+11	65838112768	1.04641E+11	1.22024E+11	13201319936	no data
20061231	1.43791E+11	72981053440	3.82421E+11	1.16762E+11	2.91941E+11	4.39013E+11	2.054E+11	98640896000	2.73598E+11	1.46355E+11	1.84512E+11	94515445760	1.86402E+11	1.91011E+11	2.38021E+11	2.02797E+11	1.67199E+11	2.23035E+11	1.5916E+11	1.69672E+11	1.42287E+11	1.79971E+11	1.43791E+11	72981053440	1.11844E+11	1.20078E+11	16336440320	no data
20070331	1.59365E+11	80338632704	3.63789E+11	1.10591E+11	2.66772E+11	4.2501E+11	1.97007E+11	84384481280	2.5395E+11	1.3996E+11		95608389632	1.74757E+11		2.26481E+11	1.98886E+11	1.6528E+11	2.43875E+11	1.58958E+11	1.68263E+11	1.42739E+11	1.84623E+11	1.59365E+11	80338632704	1.10688E+11	1.15358E+11	16274110464	no data
20070630	1.6364E+11	1.06073E+11	3.92224E+11	1.38237E+11	2.76429E+11	4.65198E+11	1.96893E+11	98973663232	2.55145E+11	1.43183E+11	1.77281E+11	1.07956E+11	1.80679E+11	1.74393E+11	2.16922E+11	1.91644E+11	1.64659E+11	2.53107E+11	1.82342E+11	1.68783E+11	1.62702E+11	1.47637E+11	1.6364E+11	1.06073E+11	1.20888E+11	1.18249E+11	28253329408	no data
20070930	1.76716E+11	1.33876E+11	4.18397E+11	1.50945E+11	2.75598E+11	5.05655E+11	1.86935E+11	1.03773E+11	2.3247E+11	1.62323E+11	1.66852E+11	1.12507E+11	1.72509E+11	1.88756E+11	2.23041E+11	2.18451E+11	1.53901E+11	2.56906E+11	1.97589E+11	1.83415E+11	1.76963E+11	1.46408E+11	1.76716E+11	1.33876E+11	1.32641E+11	1.18445E+11	38657249280	no data
20071231	1.94016E+11	1.75576E+11	3.7024E+11	1.5569E+11	3.32112E+11	5.0424E+11	1.81057E+11	1.03483E+11	1.4704E+11	1.49744E+11	1.53678E+11	1.26244E+11	1.47475E+11	1.91374E+11	1.83107E+11	2.2595E+11	1.46986E+11	2.5117E+11	1.951E+11	2.19377E+11	2.16376E+11	1.59298E+11	1.94016E+11	1.75576E+11	1.42256E+11	99512352768	39927840768	no data
20080331	1.44595E+11	1.26053E+11	3.68893E+11	1.1896E+11	2.64218E+11	4.46836E+11	2.0159E+11	96801202176	1.12451E+11	1.58142E+11	1.38687E+11	81460740096	1.07945E+11	1.80829E+11	1.68806E+11	2.13945E+11	1.46066E+11	2.27464E+11	1.78439E+11	2.06983E+11	1.38186E+11	46817619968	1.44595E+11	1.26053E+11	1.41381E+11	96098394112	29732100096	no data
20080630	1.51347E+11	1.50657E+11	2.65513E+11	1.21204E+11	2.51744E+11	4.57747E+11	2.28657E+11	1.17626E+11	91264786432	1.60589E+11	1.16484E+11	80749846528	71145988096	1.77769E+11	1.06292E+11	1.8442E+11	1.17881E+11	1.98535E+11	2.0366E+11	1.86883E+11	1.65429E+11	42344316928	1.51347E+11	1.50657E+11	1.1975E+11	78659067904	31238580224	no data
20080930	1.3218E+11	1.13919E+11	2.53864E+11	1.0679E+11	2.39596E+11	3.95056E+11	2.3061E+11	1.13027E+11	1.1177E+11	1.57131E+11	1.25823E+11	66723713024	8957416448	1.92955E+11	1.59672E+11	2.08074E+11	1.74048E+11	1.64533E+11	1.67582E+11	2.02933E+11	1.25998E+11	40875560960	1.3218E+11	1.13919E+11	1.21334E+11	1.24645E+11	31214039040	no data
20081231	95641837568	76406505472	1.70698E+11	78869159936	1.72802E+11	3.97234E+11	2.18918E+11	81190141952	36569956352	1.12698E+11	1.19472E+11	64073785344	4222780416	1.62163E+11	70645489664	1.81184E+11	1.17695E+11	1.67951E+11	1.48253E+11	1.49568E+11	96944824320	31044255744	95641837568	76406505472	1.04664E+11	1.2466E+11	21947840512	no data
20090331	92861161472	95300780032	1.07061E+11	86120701952	1.63456E+11	3.32328E+11	1.84946E+11	77435822080	13947507712	1.2803E+11	94741626880	56406904832	13948163072	1.45755E+11	43654479872	1.37253E+11	99880517632	1.4868E+11	1.34794E+11	1.33496E+11	1.09679E+11	33118513152	92861161472	95300780032		60682289152	31505760256	no data
20090630	1.0632E+11	1.27589E+11	1.24547E+11	91175133184	2.11743E+11	3.35987E+11	1.9639E+11	98047950848	16357919744	1.36882E+11	1.02519E+11	58963853312	16180552704	1.55896E+11	1.14199E+11	1.4906E+11	1.33852E+11	1.46556E+11	1.32865E+11	1.38109E+11	1.334E+11	33947963392	1.0632E+11	1.27589E+11	1.03971E+11	1.13249E+11	36141121536	no data
20090930	1.26576E+11	1.64098E+11	1.74832E+11	1.06922E+11	2.28908E+11	3.25692E+11	1.92379E+11	1.09663E+11	1.10662E+11	1.5712E+11	1.3234E+11	66713305088	30765457408	1.67191E+11	1.46363E+11	1.69227E+11	1.72596E+11	1.59386E+11	1.41158E+11	1.56725E+11	1.57152E+11	36899282944	1.26576E+11	1.64098E+11	1.13157E+11	1.3186E+11	40424878080	no data
20091231	1.39002E+11	1.89449E+11	1.61332E+11	1.12283E+11	2.68559E+11	3.22334E+11	1.89289E+11	1.10599E+11	94279614464	1.70869E+11	1.46793E+11	1.13574E+11	20924211200		1.30273E+11	1.76105E+11	1.64261E+11	1.65431E+11	1.54575E+11	1.53876E+11	1.97012E+11	40752443392	1.39002E+11	1.89449E+11	1.31271E+11	1.39771E+11	59726880768	no data
20100331	1.3171E+11	2.10035E+11	1.94313E+11	1.23143E+11	2.56617E+11	3.14672E+11	2.02286E+11	1.2362E+11	1.15912E+11	1.64461E+11		1.16444E+11	23823321088	1.77406E+11	1.79071E+11	1.82212E+11	1.77897E+11	1.52689E+11	1.52315E+11	2.00685E+11	1.80883E+11	42732384256	1.3171E+11	2.10035E+11		1.62002E+11	60553420800	no data
20100630	1.54093E+11	2.43626E+11	1.54167E+11	1.11521E+11	1.99451E+11	2.906E+11	2.00399E+11	1.13437E+11	1.08948E+11	1.55743E+11	1.3777E+11	1.07753E+11	24038582272	1.81383E+11	1.44174E+11	1.70551E+11	1.45554E+11	1.4294E+11	1.36439E+11	1.97685E+11	1.41766E+11	41754755072	1.54093E+11	2.43626E+11	1.27522E+11	1.33924E+11	48948477952	no data
20100930	1.30461E+11	2.67756E+11	1.73139E+11	1.083E+11	2.09683E+11	3.11607E+11	1.87099E+11	1.09771E+11	1.13584E+11	1.6665E+11	1.13661E+11	1.13372E+11	27292055552	1.62714E+11	1.31467E+11	1.67868E+11	1.49418E+11	1.69022E+11	1.63107E+11	2.0517E+11	1.6785E+11	50142203904	1.30461E+11	2.67756E+11	1.15465E+11	1.31713E+11	70519939072	no data
20101231	1.2749E+11	2.98047E+11	1.94155E+11	1.14849E+11	2.34528E+11	3.64064E+11	1.94091E+11	1.36604E+11	1.37446E+11	1.8022E+11	1.4029E+11	1.11079E+11	40525946880	1.69671E+11	1.34536E+11	1.80174E+11	1.65875E+11	1.73668E+11	1.83183E+11	1.98316E+11	1.90843E+11	51424772096	1.2749E+11	2.98047E+11	1.50745E+11	1.63078E+11	81180000256	no data
